proposicao,id_camara,id_senado,row,id_leggo
MPV 823/2018,NA,132477,59,a8908ad9cc15129ed904f92c2d9fbaa9
MPV 557/2011,533510,NA,235,f3b57a750e76ca13eaae51d851cd0919
PLS 190/2011,NA,100000,296,a23d8312b429d26d1b894448fb68f25f
MPV 806/2017,2159703,NA,429,cda14a03bbd711445cb86ac5bba88e79
PL 3739/2020,NA,143358,491,944e0e73c3ae824166cf06978080224f
MPV 603/2013,564535,NA,522,7fe31d2ff51299888b8056226076f030
MPV 954/2020,NA,141619,658,d3ae95d9615a72b8fa7fd35f3d844fa9
MPV 525/2011,491942,NA,702,888bb1d493e68e1999611e6c03ff72bc
MPV 923/2020,NA,140850,756,afeb255a89a74bd63735970524a0f5d3
MPV 737/2016,2090936,NA,763,ecb33b1f1cc84d8afa0cc612c59ca520
MPV 801/2017,2152544,NA,771,f1341e75c388ee285f96ec8fde0fdbbf
MPV 969/2020,2253046,NA,868,17c1567f86fa3533a3196340d2099e46
MPV 892/2019,2213325,NA,926,d4bac837d52ca1a3b70abf39a44fbdcf
MPV 888/2019,2212588,NA,933,0103d29ee946cd4c30df43aa1c599050
MPV 749/2016,NA,127138,934,cbd3027dfb3650edf6469b66d878efce
MPV 940/2020,NA,141399,961,301612c51cf911b582f42eabd673367a
MPV 948/2020,2246357,NA,1051,58b6f4f81e940525e1ab54f37609a88b
MPV 994/2020,2259711,NA,1082,55f0eb2f143ea402087b32469d982534
MPV 646/2014,NA,117859,1092,6656f82a5aaa7b329e0a185c495e49df
MPV 858/2018,2187275,NA,1174,1b7925f167063be29afe933b5aaf4c22
MPV 665/2014,865930,NA,1234,b3cf659ccdcdfd367c1759396d2d2685
MPV 804/2017,2153526,NA,1270,ebb5a92e627bcb1ad9292e0d7467e4f4
MPV 528/2011,496290,NA,1275,a7c5df159c02517bb6d0a0b9c8f921e5
MPV 767/2017,2122129,NA,1339,23f9e042085f1486b773d3bd8bbfc279
MPV 777/2017,NA,129030,1365,057b8f99b8d0ec2aa848dea811788163
MPV 938/2020,NA,141397,1468,76d718583493c7a15971eb29bcc8e71e
MPV 542/2011,515391,NA,1476,b48feafe7183dd6af84acadee4a5a7a4
MPV 903/2019,2229043,NA,1488,efa6aaf35ffcb53d0ac60432acdc1141
MPV 770/2017,2127233,NA,1502,e411f3d95ad823e329c842bd0d6e598a
MPV 973/2020,NA,142153,1540,780d7c313c7ab80f321e4a93361d25b8
MPV 673/2015,1197985,NA,1552,24366637c9abd8c50f75c6251fef31a7
MPV 527/2011,495378,NA,1599,cf2f46cb3faf4c3f1908f012138abe7e
MPV 824/2018,2170400,NA,1627,1e887d907c590dce3cef9abed0dce95f
MPV 908/2019,2231391,NA,1634,6a5e79407352b622cf4b57b0b1caba04
MPV 930/2020,2242290,NA,1666,606d559a39c5d007eaa07d4ddba99a63
MPV 901/2019,NA,139448,1710,1364ce407cce6a532467adeabe282b46
MPV 1028/2021,2269911,NA,1839,c509b3363b752430955a5382a193406a
MPV 913/2019,NA,140367,1842,f17ca11089240a1f7f1f04855b7b9144
MPV 931/2020,NA,141309,1954,8affa1f1d938a65ac4f05d1b9a78048b
MPV 915/2019,2236213,NA,1985,7184fbf4bc1eadafc4926dedba8957af
MPV 769/2017,2124184,NA,2063,91f9d7515873b7d061d07b51c607833c
MPV 1003/2020,2263410,NA,2088,4e9810c3a5719e54e8a14ba7bccafc97
MPV 821/2018,2168386,NA,2140,4a4d3d2af8efee81705f13cda1427bd4
MPV 772/2017,NA,128551,2256,b01b9e392399c9905529078980289b5b
MPV 925/2020,NA,141111,2270,ee4614fef77d4f22f1497902873b86fa
MPV 906/2019,NA,139882,2377,7f7e5773a2dfceebb5839c6557c97ff8
MPV 562/2012,538015,NA,2489,f16e5740ecf4ccbdad35e39e174b0fb8
MPV 705/2015,NA,124590,2540,1c0c64f8d48a86dc433a1e0ed3f9d305
MPV 805/2017,NA,131384,2617,bcb4c77dfcf8558ecd12101638f9d0f7
MPV 939/2020,2242771,NA,2665,34ca666a6da1209459888d6d971b917d
MPV 905/2019,NA,139757,2687,31ffe699dd7316a10a2ad1d8fd55648a
MPV 645/2014,NA,117311,2740,370b0f75e156f28c2e00274989c9da1f
MPV 856/2018,NA,134582,2788,ac1a115367d3fea2aa40616c8c00d287
MPV 752/2016,2118464,NA,2813,5ae1112ed112c126ac04e579aadc5195
MPV 630/2013,605324,NA,2835,d0b03e32dd0b00af12679371c61d39df
MPV 882/2019,NA,136549,2862,4aced44e8d6107d9bcef82f74d17473c
MPV 760/2016,2122079,NA,3008,a341b1f400d16ec08ac2acfa051dd6ee
MPV 972/2020,2253846,NA,3074,962d572bfc5a5bdcdf0b4a9c33d3175a
MPV 840/2018,2177888,NA,3102,d772ae7d38d540db18bbc84ab72494b1
PL 2589/2020,NA,141917,3224,ec6da290520343452215253f3c389163
MPV 561/2012,536641,NA,3253,6bc6bbc06954701c2d5190b0f0cd71b9
MPV 845/2018,2182065,NA,3301,86a8b0a420448dbdb1144f5a22c3439c
MPV 779/2017,NA,129243,3337,bc751eb7338ffb09cc5237537efb237d
MPV 635/2013,605333,NA,3381,8cf2f29d8ddb8f0ed16fc57f1a9ee718
MPV 1005/2020,NA,145003,3384,97f9aadc756db3588fcafa8f8b933ce1
MPV 791/2017,2145822,NA,3475,7ec8acff863428057252f63b04e9ef6f
MPV 1021/2020,NA,146145,3514,e0cafd82cb05980e288de5f7c727c685
MPV 985/2020,2256340,NA,3520,33d089f095da47ebec5d1049c74ba132
MPV 814/2017,2167551,NA,3573,0bbf134a89dcc48381604953fbce1800
MPV 544/2011,522364,NA,3574,21049711f9c0029c0f9cdf038ffb6b7f
MPV 683/2015,1570936,NA,3647,749b8331c4ef661e7790781cf761860f
MPV 1012/2020,2265828,NA,3673,51004cc4414018ad15f840f55ed5fa86
MPV 583/2012,556884,NA,3716,132d7ee4342f39b9a28b675a3715afc3
PL 1321/2019,2193540,136131,3893,52aca7a68cd66f7ffa34ce59b48af165
MPV 578/2012,554212,NA,3978,c556844f89ecb80d3f9fff4daca33e58
MPV 875/2019,NA,135616,4001,698ca29c83728726e39142ac5b81883c
MPV 782/2017,2139967,NA,4010,d59d7548f446a4d78463be3592d49f47
MPV 914/2019,NA,140379,4203,5ae6461ac3e5482b356b19119dc28abf
MPV 815/2017,2167554,NA,4227,9d8cf5d4a8221d49fe16c5ce6327e6b7
MPV 1029/2021,2270100,NA,4357,59bb6937d612599a2e08ccb962e50fda
MPV 632/2013,605327,NA,4370,256b596a52a6352b2174582080f8605b
MPV 955/2020,2250246,NA,4403,49498c37ba99b356f31ae3305e29118a
MPV 758/2016,2121849,NA,4613,31b900831311ec04d9c34c9ff597047e
MPV 916/2019,2236219,NA,4660,687e844ae338019777700c695070b59c
MPV 659/2014,744140,NA,4727,caea2656ff51dbc198388f42bc2e065c
MPV 780/2017,NA,129244,4742,e8fe47574f6f8084bb73a8347dd90aa9
MPV 840/2018,NA,133541,4777,f8b90ec98cf3f3e6f63c38046fd323ec
MPV 524/2011,490854,NA,4808,98142bbee85a0261a88e214c85cb7ae0
MPV 761/2016,2122080,NA,4846,ee41d3b65da7efb70ea0d9a39c00de62
MPV 1031/2021,NA,146740,4942,955001fb0759e091e8920a144eb0ce1d
MPV 775/2017,2128869,NA,4952,344942f22ed0683db6217330e50ef04e
MPV 998/2020,2261939,NA,5021,3e5eb14b033d01e2a24d22dc2fd188c6
MPV 924/2020,2239115,NA,5037,810239b37eee813886c797ace4e5ec78
MPV 893/2019,NA,138177,5062,3126584c6fbb2ff3b9c5e6898e514950
MPV 762/2016,2122081,NA,5108,a1e30bf28ac11b2b8383cd634a0edbed
MPV 862/2018,2188360,NA,5376,3eba24ee488f0c9292d2eb72e39ffd96
MPV 704/2015,2076227,NA,5511,f448bed40e74dd0fadf250f2d07bcc75
MPV 889/2019,2212949,NA,5519,a6969dfee64ce2f7beb5756e7fa24cfe
MPV 850/2018,NA,134245,5528,9aa6a03c18c9ce80162e57b0ad8fe877
MPV 978/2020,2254698,NA,5578,994681a96f8508e747185ff8e615eeec
MPV 750/2016,2115971,NA,5581,ac9d56544ce718eb0b922157d7621437
MPV 966/2020,2252610,NA,5600,af722777d4b32cd2df71132475917f19
MPV 956/2020,NA,141699,5605,cd64880c91d831bc4222ea706ba76e17
MPV 759/2016,2122078,NA,5609,79355abdecc9869f966cfae61448f558
